alpha,lambda,j
0.005,0.0005,-18.369106023708618
0.005,0.001,-18.397781257939375
0.005,0.005,-18.32046990501874
0.01,0.0005,-18.573911904426716
0.01,0.001,-18.401294801905113
0.01,0.005,-18.533892306074634
0.05,0.0005,-18.268648639301702
0.05,0.001,-18.274048601585772
0.05,0.005,-18.66743989138478
